1,1,65.36,27.79,1.58,7.33,6266.67
1,2,68.48,27.74,1.76,7.08,3390
1,3,71.94,27.53,1.67,8.01,5716
1,4,70.11,27.57,2.45,7.25,4170.37
1,5,68.78,27.33,2.27,6.53,3951.85
1,6,70.63,26.72,2.24,6.49,5890.48
1,7,70.85,26.85,1.85,6.44,4350
1,8,65.82,26.84,1.82,7.79,5352.17
1,9,61.51,27.18,2.13,6.22,6086.36
1,10,70.08,27.7,2.03,7.92,6285
1,11,73.07,27.83,2,7.52,5827.27
1,12,73.75,27.8,1.06,7,4111.11
1,13,71.33,28.07,1.82,6.28,4300
1,14,58.92,28.11,2.34,7.03,4221.43
1,15,65.93,27.3,2.35,7.84,4092.31
1,16,66.61,27.66,2.64,6.86,3740.79
1,17,71.23,27.49,2.5,6.39,3976.81
1,18,62.31,27.82,2.1,7.2,4889.44
1,19,63.28,27.07,2.11,8,5106.38
1,20,64.22,27.05,2.58,6.95,5101.42
1,21,65.68,26.97,2.43,6.76,5094.33
1,22,67,27.04,2.48,6.62,4838.03
1,23,68.08,27.39,2.45,7.42,4670.92
1,24,72.06,27.53,2.99,8.06,4780.85
1,25,72.42,27.43,3.07,7.75,4189.29
1,26,71.25,27.22,2.75,7.66,4917.07
1,27,71.39,27.37,2.62,7.14,3643.36
1,28,75.73,26.64,1.84,6.27,3152.55
1,29,65.91,27.75,2.18,7.28,5171.53
1,30,65.86,28.06,2.2,6.36,5116.78
1,31,62.33,28.43,2.33,7.89,5076.55
2,1,57.6,28.11,2.7,7.52,5428.17
2,2,57.23,28.44,2.21,6.55,5494.12
2,3,55.71,28.1,2.02,6.28,5576.76
2,4,60.85,27.63,2.43,6.78,5383.87
2,5,64.46,28.19,3.07,7.58,5070.97
2,6,68.97,28.53,3.01,6.67,5148.92
2,7,75.88,27.94,3.34,7.28,3737.41
2,8,72.47,28.11,1.6,8.02,4416.89
2,9,74.87,28.15,2.43,6.5,5163.04
2,10,72.17,28.41,2.23,6.41,5124.14
2,11,65.09,28.7,2.72,7.01,5276.55
2,12,75.38,27.84,2.41,6.85,4355.56
2,13,65.56,28.22,1.91,7.77,4923.24
2,14,62.38,28.32,2.79,7.01,5163.64
2,15,63.43,28.89,2.37,7.77,5281.63
2,16,60.03,29.15,2.85,7.89,5146.58
2,17,66.06,28.41,2.15,7.63,4886.81
2,18,64.68,28.82,2.79,6.53,5311.72
2,19,66.8,28.72,3.23,7.45,5673.97
2,20,63.15,28.87,2.61,7.29,5533.79
2,21,61.55,28.87,3.37,6.72,5089.12
2,22,65.38,28.84,3.02,7.89,5227.89
2,23,60.34,29.1,2.81,7.8,5479.86
2,24,56.77,29.47,3.04,7.02,5311.72
2,25,61.33,29.45,2.57,7.75,5421.38
2,26,61.52,29.67,2.28,6.41,5557.34
2,27,60.85,30.17,2.11,7.29,5421.92
2,28,63.93,30.01,3.05,6.53,5566.9
3,1,62.5,30.13,2.5,6.13,5358.5
3,2,60.2,30.22,2.44,5.95,5342.07
